Marca temporal,Clase,Fecha,Hora,AM_PM,Hora_24,Apellidos_enc,Nombres_enc,ID_enc
2024/10/26 9:11:54 a. m. GMT-5,1,2024/10/26,09:11,0,09:11,gAAAAABnTFMg7qAqdinLMW2r-_Orn5k2noBBEQBcLQhxOK8y0gPaEcZhJ4tzN8h63MswRguVE8rbFcoOfjlSDsDnUscEpI2Vsg==,gAAAAABnTFMg6myAIVIIClPNO64TX-K4SEHbWebQFtRnJyC0GRbWOSPHefrgw9Byf_-pIM3OdSH78poStrz4YN_SGbqHPdhXxA==,gAAAAABnTFMglnT40KYF466KWJN6LYBi8gCgRrnSTtP8f_vXnJ06UixS-PsQVjEkDAkmp_1zwsxnk0Z85C3QIoK1kHgEI3kphQ==
2024/10/26 9:12:03 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgHnRiTZd53BJBd6U-pjBTzLWwf45vXJ2cFcoJsOXYYkDlw8cgAKfjJvd5XDdyyaAheLDafwPjYIOwW9Cse_TICg==,gAAAAABnTFMgBB2PH6qAmy_STOhH42NYvxgL0WexC2yullFcqmjEOcTs37tMrOa2NMb2elyz4V-gbis8l8JpB9yjAPk0WMD9YQ==,gAAAAABnTFMgorAX7Cws84ZFDsU3lKa7RLcwM69WyoMqv6hYYbtbt33a7-M9DZUft0oXvZHVmA45tUdFB_u_U2F5siNRQX4UIA==
2024/10/26 9:12:04 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgpc4LZ3J6NtFKXTNsa8D5EygUNsKgA4pFmYmpA1-ri7e4ywgjG8mwwflZXw_ySAbClwsp7Tc63VhlhZprZf-p0w==,gAAAAABnTFMgq1r5mXKbEMkG8v4Ss_4RGFr_P69lEL1r9BmJnGNciBoX2p6BtPIUZiZRb6P5Ww-zM5roESq5cJdaURHUEGQ51PJA0BNoDRkoLon_fnXaQfA=,gAAAAABnTFMgD6icP6iO3aDHf5Vl8-URPelDJHCzJ6Q7OLJiNPlT1JS547q52Zc6W8tF1lRTY-s7ejgjZ46-fHk_NbjiVUQFWw==
2024/10/26 9:12:05 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgltoZa1snFXbwqMjj-kC7lEEcFIkZyGuXXlxJvzFKDVDLtAIDXRmdquADQH0gT_Ng-tXjnoMMrifOdJJ2rp3Grw==,gAAAAABnTFMgmdFfJN0AlGyG_-LWA1GC-GDE4V2nDcLUAY9_Fm5Jli7jiTgBU_PL3dHcn6tiJqqzNzuLsWyoCpa3BxB1uK-5Qg==,gAAAAABnTFMgGYuAoFYIcqq8JgjywWio4I7H8PtbN45IgMFRx2_bWHNJe7vtdE_Mmcx5BhOFAlWaTYCY7d7N4eR3SATie8lkMw==
2024/10/26 9:12:22 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMggKtf3kOimQpnhfDbBaBzAfSyt4AlYyUHStPR3CN5NwXt8P0DE91RbZcv4yMXUkBKmueg4AZ5dvmoJhwCncujHg==,gAAAAABnTFMgcqKK3Xs40wi3TMO6jZUe-dG9fbWwyLrQYnpfuTkhsYEjFQivrggxkxAoePMj8pEcvLRwwvSu3s46c5wuTB6hxA==,gAAAAABnTFMgvtS2gmlVIRK0lbDxCSNckmPZ7_-s6XFgPSst7ilMbuU__Ffr2lRgdnklqBo_KXgWD88ANs2CTe9TEyrundSEnw==
2024/10/26 9:12:22 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgVqXHDoHrUX4Nt49SZ1ZbIe1Qfjg47DffZpl9X7KfmoD9Y0gYI0FS_zCZhLrO8chmIlYEQCZG42xlqC2OZv1AIg==,gAAAAABnTFMg54tl1qm5U9QalGPCyH07I3dTqg1WYaQnrcGbQX45Dm2U0kisV7J_rxmoaPXD7RPmJ1gzciAGH4tiq90o435ivZ1OpsBk0e4nr8G0w7N0vJU=,gAAAAABnTFMgG931faV-5Q_FaQ00XbhsrmDtNKiJ-6XoVCIlXnmjsILe1LbppBG3ZIs6XQN7tPMOSl9-_GxdDD2JiVqbZ6SFGQ==
2024/10/26 9:12:29 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgOm3cfAFJvyQ4d-OB0MyG2edDr9iWHMs0hioprboeJS0GI1nlZlTNylNqQVH5-ILTw85Suz3R9PRMujXIeanYwQ==,gAAAAABnTFMgHR8_PJ-MGyzhRN22wJmtmNPTgvJQ4Kgkx6rxrJrKa_LGs9En5XYwgwTnSDphHxnOcbIGAf07oXswcpRupxI0cOSmvlFNfcGXYB6m5WBoKZA=,gAAAAABnTFMgmO1JwsSuvKpdwTRpMjmX9M1tr2puzcQAo_LaAf51swQrZWYOVDajCobY7-CiMv9ineFeboDPEOuQbLrAxF00AA==
2024/10/26 9:12:30 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgxG758a_1vF5pJMLPHw74NUO-oNNnCUaxaI9BmPyHC0wyf-TrsRRoyb56X4C4aYjvjVYfWt2CZ4ffHK4sYSCqBIYczC0A4Q-MQjyLmuRNrus=,gAAAAABnTFMgmWcO2JCh5209PDpuNzfyEDJ4p3o4xDQ396WKCXBQX60hFJW68_y4K0dpW2_rhbpYzv6oz20EVuD1bLRlpULf0g==,gAAAAABnTFMgBJCdLzrhT8ACywkMEBVPQ5-fCSh_Ia4tFfcygYJxAolho_Sd3kbyXjJSsqzqPJN9iCBcPoyUukCpPp7623JaLQ==
2024/10/26 9:12:33 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgxkS-q6CDm4fYkbQel-jjht6iB4gaQ8zyEV1IoZea0afuvh4rgB0yi28E-YhTLLW4ra7ilpk2lZDVP7R8o9PI1yfEz7ZVq48-27ptfNKX3VY=,gAAAAABnTFMg-5DLvVLOei9oyiYJxL5QYhkiy5Q_vJxiOYcCIIJXnosxuXLIZIA9nSRvAmICdwYWBVuGUaYvhsu3nPIDUaEwdw==,gAAAAABnTFMgjjS5L62ob6yx_JG9ZNDUDmTqbURlJFWZoMyeuYY2uSHhSt1H9w0lSsRavUKKv-gq_Q_mDwNGnrI2AvvekxiNaw==
2024/10/26 9:12:35 a. m. GMT-5,1,2024/10/26,09:12,0,09:12,gAAAAABnTFMgeU9JyeY9-gVGZP_H5tqyp6LukatAOAeBMk5irqkDcArLx0rZH7UUuklYmKVoQcWcEfOs1oudxWPyg4ux-eteUw==,gAAAAABnTFMgxeLa60ZxIUdR7rVmwVTlWpzXDLkzqM7YBlzxRLP2JT3wcT3kzVc3FnOyxxV8qZK4-R2EOHCqwQv88adK-iWYBA==,gAAAAABnTFMgwC1uY819L7eGIlUHqbE56ASQxf2ZTBmomZ6d5sJuHVpwhIR3Tl4KLOJYCWQh4jKPqz2cOMDauPw9kTw2-hXx-Q==
